Lat,Lng
59.3464958008991,18.0722683877261
59.3459350542693,18.071919483499
59.3455486582166,18.0730171982074
59.3451185237182,18.0743866921256
59.3446223335736,18.0763470130834
59.3449795155885,18.0762948476061
59.3452986237178,18.0767752803418
59.3451926107564,18.0772255954835
59.346129790044,18.0783848091117
59.3465132125766,18.0786348808091
59.3469723672001,18.078219969135
59.3474662296925,18.0777923490983
59.3476865375856,18.0774073682519
59.3473232793129,18.0767304150768
59.3470678094914,18.076098613696
59.346870729972,18.0759375421685
59.3466058251902,18.0752213128237
59.3463503301479,18.074827560639
59.3463639494493,18.0738749558088
59.3464756353652,18.0733399751702
