Lat,Lng,Heading,Accuracy,WaypointIndex
59.3469433626713,18.0724054109473,329.726135253906,25.0,0
59.3469433626713,18.0724054109473,313.939819335938,25.0,0
59.3469433626713,18.0724054109473,341.22412109375,25.0,0
59.3469433626713,18.0724054109473,336.141082763672,25.0,0
59.3469433626713,18.0724054109473,332.065063476562,25.0,0
59.3469433626713,18.0724054109473,260.326568603516,25.0,0
59.3469433626713,18.0724054109473,233.227584838867,25.0,0
59.3469433626713,18.0724054109473,148.748504638672,25.0,0
59.3469433626713,18.0724054109473,146.403686523438,25.0,0
59.3469433626713,18.0724054109473,149.524459838867,25.0,0
59.3469433626713,18.0724054109473,128.23811340332,25.0,0
59.3469433626713,18.0724054109473,126.075820922852,25.0,0
59.3469433626713,18.0724054109473,123.463356018066,25.0,0
59.3469433626713,18.0724054109473,122.916160583496,25.0,0
59.3469433626713,18.0724054109473,144.522583007812,25.0,0
59.3469433626713,18.0724054109473,133.483383178711,25.0,0
59.3469433626713,18.0724054109473,70.784294128418,25.0,0
59.3469433626713,18.0724054109473,59.4932670593262,25.0,0
59.3469433626713,18.0724054109473,85.5564575195312,25.0,0
59.3469433626713,18.0724054109473,96.3415679931641,25.0,0
59.3469433626713,18.0724054109473,115.566596984863,25.0,0
59.3469433626713,18.0724054109473,242.594772338867,25.0,0
59.3469433626713,18.0724054109473,192.114990234375,25.0,0
59.3469433626713,18.0724054109473,117.905143737793,25.0,0
59.3469433626713,18.0724054109473,76.4659194946289,25.0,0
59.3469433626713,18.0724054109473,106.669372558594,25.0,0
59.3469433626713,18.0724054109473,148.245559692383,25.0,0
59.3469433626713,18.0724054109473,183.343795776367,25.0,0
59.3469433626713,18.0724054109473,93.2753677368164,25.0,0
59.3469433626713,18.0724054109473,99.3813018798828,25.0,0
59.3469410576479,18.0724851228465,49.7873382568359,25.0,0
59.3469469668896,18.0725130345841,18.5181732177734,25.0,0
59.3469552230643,18.0725372582842,20.9901390075684,30.0,0
59.3469648622529,18.0725587997754,21.0141983032227,30.0,0
59.3469739985274,18.0725797545333,72.6312026977539,30.0,0
59.3469923548953,18.0726916529407,115.913352966309,35.0046563624153,0
59.3470062688546,18.0728039704432,125.985801696777,40.2410907725438,0
59.3470162014098,18.0729028769006,109.448364257812,40.7651170544271,0
59.3470246252225,18.0729949940164,101.361610412598,36.2831845436036,0
59.3470241642178,18.0730760470201,88.2839431762695,33.3179593805858,0
59.3470209371851,18.0731477122922,118.944885253906,32.0400399714344,0
59.3470034190075,18.0732006859203,188.644912719727,33.2420370382783,0
59.3469674606429,18.0732471216638,144.272171020508,35.5074104262968,0
59.3469501520128,18.073281990381,138.819244384766,25.0,0
59.346935944687,18.0733172781934,134.602172851562,25.0,0
59.3469197257043,18.073342591541,199.602279663086,25.0,0
59.3469048059167,18.0733684078027,196.78450012207,25.0,0
59.3468922749714,18.0733900331129,173.823318481445,33.8382067607218,0
59.3468830967875,18.0734104011376,132.518524169922,33.9008881353145,0
59.3468721584038,18.0734323617239,151.878631591797,32.9093783826423,0
59.3468533410312,18.0734486226161,149.76872253418,30.0,0
59.3468190590472,18.0734456051309,127.429344177246,30.0,0
59.3467991101177,18.0734330322762,134.722778320312,10.0,0
59.3467792030977,18.0734131671657,209.706268310547,10.0,0
59.3467559014068,18.073390368389,222.13264465332,10.0,0
59.3467313843401,18.0733554996718,249.003067016602,25.0,0
59.3467064062686,18.0733285099436,244.85107421875,25.0,0
59.3466803804593,18.0733021907677,204.242141723633,25.0,0
59.346661102082,18.0732762906869,226.99609375,25.0,0
59.3466384290339,18.0732496362348,234.169204711914,25.0,0
59.3466191506566,18.0732232332398,201.322952270508,25.0,0
59.3466036022262,18.0731993448158,192.00309753418,25.0,0
59.3465910293715,18.0731786415149,190.632736206055,25.0,0
59.346574097927,18.0731624644418,188.427658081055,25.0,0
59.3465751037554,18.0731599498708,186.345840454102,25.0,0
59.3465717509942,18.0731602013279,190.104476928711,25.0,0
59.3465669733094,18.0731600336899,206.90673828125,25.0,0
