Lat,Lng
59.3465213159621,18.0728757954862
59.3460044456812,18.0728614636401
59.3457480177578,18.0726949222794
59.3454658376197,18.0732699683152
59.3446223335736,18.0763470130834
59.3449795155885,18.0762948476061
59.3452986237178,18.0767752803418
59.3451926107564,18.0772255954835
59.346129790044,18.0783848091117
59.3464129858936,18.0787310666394
59.3469723672001,18.078219969135
59.3474662296925,18.0777923490983
59.3477559112285,18.0775062008594
59.3473232793129,18.0767304150768
59.3470678094914,18.076098613696
59.346870729972,18.0759375421685
59.3466058251902,18.0752213128237
59.3463368855384,18.0747459352388
59.3463639494493,18.0738749558088
59.3464756353652,18.0733399751702
